name,description,city,country,location,latitude,longitude,cuisine,averagePrice
Salsa Restaurant,"Fast-food & casual Egyptian-style eatery in Assiut, offering quick bites, local favorites, and a cozy setting for friends and families.",Asyut,Egypt,"El Namis St, Opposite Eastern Weavers, Asyut, Egypt",27.1831,31.1839,Fast Food,85
Gad Restaurant,"Popular Egyptian fast-food chain in Hurghada, known for traditional dishes like falafel, foul, and grilled meats, served in a casual and family-friendly setting.",Hurghada,Egypt,"Sherry St, Sekalla, Hurghada, Egypt",27.2567,33.8189,Egyptian,66.66666667
Ezbet El Borg Seafood Restaurant,"Casual seafood eatery in New?Damietta, serving freshly caught local fish and seafood specialties in a relaxed, family-friendly atmosphere.",Damietta,Egypt,"15 El Nil St, Corniche, Damietta, Egypt",31.4167,31.8495,Seafood,180
Abou Shakra Restaurant,"Long-standing Egyptian grillhouse in Giza, serving traditional dishes like kofta, kebab, and stuffed vine leaves in a spacious, family-friendly atmosphere near the pyramids.",Giza,Egypt,"17 Gamaet El Dewal El Arabia St, Mohandeseen, Giza, Egypt",30.0521,31.2009,Egyptian,138.3333333
El Hamd Fish Restaurant,"Casual seafood spot in Assiut, offering fresh fish, shrimp, and grilled seafood platters in a relaxed local setting.",Asyut,Egypt,"24 Kornish El Nile St, Al Thawra, Second District, Asyut, Egypt",27.1835,31.1852,Seafood,148.3333333
Nubian Dreams Restaurant,"Cozy Nile-side eatery in Aswan, offering authentic Nubian cuisine and local Egyptian dishes in a traditional setting with beautiful river views.",Aswan,Egypt,"Kornish El Nile St, Next to Movenpick Hotel, Aswan, Egypt",24.0889,32.8998,Nubian,134.1666667
El Masry Restaurant,"Casual Egyptian restaurant in Aswan, known for home-style cooking, grilled meats, and popular local dishes in a laid-back atmosphere.",Aswan,Egypt,"Al Matar, Sheyakhah Thalethah, Qism Aswan, Aswan 1242860, Egypt",24.0905,32.8857,Egyptian,58.33333333
Spectra Restaurant & Cafe,"Modern casual dining spot in Assiut, offering a wide menu of international and Egyptian dishes, desserts, and coffee in a stylish setting.",Asyut,Egypt,"Ahmed Allouba St, Ard El Malaeb, Nile Plaza Towers, Tower A, Asyut, Egypt",27.1838,31.1845,International,128.3333333
Nile View Restaurant,"Scenic restaurant in Luxor with panoramic views of the Nile, serving Egyptian and Mediterranean cuisine in a calm and picturesque environment.",Luxor,Egypt,"Gezerat El Barat, Luxor 11511, Egypt",25.6928,32.6257,"Egyptian, Seafood",130
Coffeeshop Company Cafe & Restaurant ,"Austrian-inspired café and restaurant in Assiut, offering specialty coffee, desserts, and international light meals in a modern, relaxing space.",Asyut,Egypt,"Kornish Al Nile (Al Thawra), Asyut, Egypt",27.1828,31.1828,Coffee Shop,90
Sofra Al Nil Restaurant,"Traditional Egyptian restaurant in Luxor, featuring classic local dishes, warm ambiance, and a rooftop terrace with Nile views.",Luxor,Egypt,"90 Mohamed Farid Street, Al Manshiya, Luxor 83911, Egypt",25.6985,32.6378,Egyptian,91.66666667
El Tabei El Domyati Restaurant,"Popular Egyptian fast-food chain in Cairo, known for affordable and quick meals like foul, falafel, and liver sandwiches in a no-frills setting.",Cairo,Egypt,"84 Rd 9, Ezbet Nafie, El Basatin, Cairo Governorate 4212104, Egypt",29.9837,31.2612,Egyptian,27.5
Al Fanar Restaurant,"Seaside seafood and grill restaurant in Sharm El Sheikh, offering fresh catches and international dishes with scenic Red Sea views.",Sharm El Sheikh,Egypt,"El Fanar St. Beside El Fanar Hotel, Sharm El Sheikh 46628, Egypt",27.8647,34.2955,Seafood,236.6666667
Oxygen Pizza Restaurant,"Casual pizzeria in Assiut, serving a variety of freshly baked pizzas, pastas, and fast-food favorites in a family-friendly setting.",Assiut,Egypt,"Behind Hayat Hospital, Ferial Al-Attefi Square, Assiut Governorate 71111, Egypt",27.181,31.1856,"Pizza , Fast Food",84.66666667
Al Forno Restaurant,"Modern Italian-style restaurant in Cairo, offering wood-fired pizzas, pasta, and continental cuisine in a cozy and stylish atmosphere.",Cairo,Egypt,"Omar Ibn El Khattab Street, Cairo 11511, Egypt",30.0561,31.3406,Italian,203.3333333
Khan El Khalili Restaurant,"Traditional Egyptian restaurant inspired by Cairo’s historic bazaar, offering classic local dishes in an oriental-themed setting.",Cairo,Egypt,"Mena House Hotel, 5 Pyramids Road, Cairo 11511, Egypt",30.0156,31.2167,"Egyptian , Middle Eastern",99
Kamona Restaurant,"Popular local eatery in Assiut, serving traditional Egyptian meals, grills, and homemade dishes in a relaxed, authentic environment.",Assiut,Egypt,"Mohamed Ali Makram, Second District, Assiut Governorate, Egypt",27.181,31.1856,"Egyptian , Fast Food",20.83333333
Makka Restaurant,"Simple and affordable Egyptian restaurant in Aswan, known for hearty meals, grilled dishes, and local flavors in a casual setting.",Aswan,Egypt,"143 Abtal el Tahrir St, Aswan, Egypt",24.0889,32.8998,Egyptian,73.33333333
Al Khal Egyptian Restaurant,"Elegant Egyptian fine-dining spot in Cairo, offering rich traditional dishes and mezze in a refined, culturally themed ambiance.",Cairo,Egypt,"InterContinental Cairo Citystars, Omar Bin Khattab Street, Cairo 11737, Egypt",30.0849,31.3277,Egyptian,148.3333333
