Name,Location,Latitude,Longitude,Rate,Description,Country
triomphe hostel ,Alexandria,31.2003459,29.8983445,3.8,"Spacious, bright rooms with free Wi?Fi, private or shared bathrooms, 24h reception and central location in Alexandria.",Egypt
gawharet alahram hotel,Giza,29.9912901,31.154418,4,"Urban spa hotel in Giza near zoo and mall, featuring art gallery, two restaurants, free parking, in?room Wi?Fi, fireplaces and heated floors.",Egypt
sahara pyramids inn,Giza,29.9745225,31.1410544,3.9,"3.5?star guesthouse steps from the Pyramids with free breakfast, rooftop terrace café, shuttle service and pyramid views.",Egypt
nile view inn,Cairo,30.0180679,31.2232395,4.5,"Clean, comfortable budget hotel in Giza/Cairo with spacious balcony rooms offering stunning Nile (and even pyramid) views, 24/7 reception, free Wi?Fi and very helpful staff.",Egypt
Shadow Pyramids Suites and Jacuzzi,Giza,29.974008,31.1410831,4.5,"3-star property steps from the Pyramids, with rooftop restaurant, Jacuzzi suites, free breakfast, airport shuttle, parking and free Wi?Fi.",Egypt
grand hotel port said,Port Said,31.2710634,32.300525,4.2,"Elegant 4-star seaside landmark in Port Said with sea-view terrace, restaurant, business centre, free parking, 24?hour reception and free Wi?Fi.",Egypt
hilton hurghada plaza,Hurghada,27.2567539,33.8305273,4.5,"Clean, modern beachfront resort in Hurghada facing the Red Sea, with private sandy beach, multiple pools, spa, fitness centre and adjacent shopping mall.",Egypt
meraki resort adults only,Hurghada,27.2603047,33.8158616,4.8,"Spacious 4?star adults?only resort in Hurghada with bohemian-style décor, 5 beach sections, 3 pools, all-inclusive package, spa, and wellness activities.",Egypt
the view delta hotel,Cairo,29.9905525,31.1365045,4.5,"City?view hotel in Giza with an amazing rooftop terrace overlooking the Pyramids, free breakfast, concierge service, free Wi?Fi, airport shuttle and sound?insulated rooms.",Egypt
steigenberger resort alaya marsa alam,Red Sea,25.6045621,34.6012996,5,"Luxury adults?only beachfront resort in Marsa Alam with multiple (even heated) pools, fine?dining restaurants, spa, gym, and impeccable service.",Egypt
rahala safari hotel,Safari,27.063802,27.9765763,4.3,"Traditional Bedouin-style safari retreat in Farafra Oasis with clean dome-style rooms, shared lounge, garden setting; includes breakfast, dinner, parking and airport shuttle.",Egypt
pyramids view guest house,Cairo,29.9714153,31.1428852,3.3,"Elegant guesthouse with terrace, garden, bar, free Wi?Fi, airport shuttle and hot tub, located steps from the Giza Pyramids.",Egypt
pyramisa island hotel aswan,Aswan,24.0786882,32.879857,3.9,"Serene island resort in Aswan on its own Nile island, with spa, pools, gym, multiple restaurants and furnished balconies.",Egypt
